City;District;Province;Population;Latitude;Longitude
Warszawa;powiat Warszawa;mazowieckie;1794166;52,259;21,02
Kraków;powiat Kraków;małopolskie;779966;50,06;19,959
Łódź;powiat Łódź;łódzkie;672185;51,77;19,459
Wrocław;powiat Wrocław;dolnośląskie;641928;51,11;17,03
Poznań;powiat Poznań;wielkopolskie;532048;52,399;16,9
Gdańsk;powiat Gdańsk;pomorskie;470805;54,36;18,639
Bydgoszcz;powiat Bydgoszcz;kujawsko-pomorskie;344091;53,12;18,01
Lublin;powiat Lublin;lubelskie;338586;51,24;22,57
Białystok;powiat Białystok;podlaskie;296958;53,139;23,159
Katowice;powiat Katowice;śląskie;290553;50,259;19,02
Gdynia;powiat Gdynia;pomorskie;244969;54,52;18,53
Częstochowa;powiat Częstochowa;śląskie;217530;50,81;19,129
Radom;powiat Radom;mazowieckie;209296;51,399;21,159
Toruń;powiat Toruń;kujawsko-pomorskie;198613;53,02;18,609
Sosnowiec;powiat Sosnowiec;śląskie;197586;50,279;19,12
Kielce;powiat Kielce;świętokrzyskie;193415;50,889;20,649
Rzeszów;powiat Rzeszów;podkarpackie;196638;50,049;21,999
Gliwice;powiat Gliwice;śląskie;177049;50,31;18,669
Zabrze;powiat Zabrze;śląskie;170924;50,299;18,779
Olsztyn;powiat Olsztyn;warmińsko-mazurskie;171249;53,779;20,489
Bielsko-Biała;powiat Bielsko-Biała;śląskie;169756;49,819;19,049
Bytom;powiat Bytom;śląskie;163255;50,349;18,909
Zielona Góra;powiat Zielona Góra;lubuskie;140892;51,94;15,489
Rybnik;powiat Rybnik;śląskie;137128;50,1;18,549
Ruda Śląska;powiat Ruda Śląska;śląskie;136423;50,299;18,88
Opole;powiat Opole;opolskie;127839;50,679;17,94
Tychy;powiat Tychy;śląskie;126871;50,16;19
Gorzów Wielkopolski;powiat Gorzów Wielkopolski;lubuskie;122589;52,74;15,23
Dąbrowa Górnicza;powiat Dąbrowa Górnicza;śląskie;118285;50,33;19,18
Elbląg;powiat Elbląg;warmińsko-mazurskie;118582;54,179;19,399
Płock;powiat Płock;mazowieckie;118268;52,55;19,7
Wałbrzych;powiat Wałbrzych;dolnośląskie;109971;50,78;16,28
Włocławek;powiat Włocławek;kujawsko-pomorskie;108561;52,659;19,059
Tarnów;powiat Tarnów;małopolskie;107498;50,009;20,99
Chorzów;powiat Chorzów;śląskie;106846;50,299;19,03
Kalisz;powiat Kalisz;wielkopolskie;99106;51,77;18,1
Legnica;powiat Legnica;dolnośląskie;98436;51,209;16,159
Grudziądz;powiat Grudziądz;kujawsko-pomorskie;93564;53,49;18,749
Jaworzno;powiat Jaworzno;śląskie;90368;50,209;19,27
Słupsk;powiat Słupsk;pomorskie;89780;54,47;17,019
Jastrzębie-Zdrój;powiat Jastrzębie-Zdrój;śląskie;88038;49,99;18,59
Nowy Sącz;powiat Nowy Sącz;małopolskie;83558;49,63;20,699
Jelenia Góra;powiat Jelenia Góra;dolnośląskie;78335;50,909;15,729
Siedlce;powiat Siedlce;mazowieckie;77813;52,169;22,28
Mysłowice;powiat Mysłowice;śląskie;74559;50,24;19,14
Konin;powiat Konin;wielkopolskie;72539;52,209;18,249
Piotrków Trybunalski;powiat Piotrków Trybunalski;łódzkie;72250;51,409;19,7
Piła;powiat pilski;wielkopolskie;72527;53,149;16,739
Inowrocław;powiat inowrocławski;kujawsko-pomorskie;71674;52,78;18,249
Lubin;powiat lubiński;dolnośląskie;71710;51,399;16,2
Ostrów Wielkopolski;powiat ostrowski;wielkopolskie;71560;51,66;17,799
Suwałki;powiat Suwałki;podlaskie;69639;54,109;22,94
Ostrowiec Świętokrzyski;powiat ostrowiecki;świętokrzyskie;67404;50,95;21,389
Gniezno;powiat gnieźnieński;wielkopolskie;67570;52,53;17,61
Głogów;powiat głogowski;dolnośląskie;66120;51,669;16,08
Siemianowice Śląskie;powiat Siemianowice Śląskie;śląskie;66270;50,33;19,049
Pabianice;powiat pabianicki;łódzkie;63945;51,669;19,35
Leszno;powiat Leszno;wielkopolskie;62854;51,849;16,57
Zamość;powiat Zamość;lubelskie;62785;50,729;23,26
Łomża;powiat Łomża;podlaskie;62573;53,18;22,07
Chełm;powiat Chełm;lubelskie;61135;51,139;23,49
Tomaszów Mazowiecki;powiat tomaszowski;łódzkie;61338;51,54;20,03
Żory;powiat Żory;śląskie;62844;50,069;18,689
Ełk;powiat ełcki;warmińsko-mazurskie;61903;53,83;22,359
Pruszków;powiat pruszkowski;mazowieckie;62623;52,22;20,819
Tarnowskie Góry;powiat tarnogórski;śląskie;61756;50,459;18,86
Przemyśl;powiat Przemyśl;podkarpackie;59779;49,79;22,78
Stalowa Wola;powiat stalowowolski;podkarpackie;59623;50,57;22,049
Kędzierzyn-Koźle;powiat kędzierzyńsko-kozielski;opolskie;60021;50,34;18,209
Mielec;powiat mielecki;podkarpackie;60075;50,29;21,43
Tczew;powiat tczewski;pomorskie;59430;54,099;18,779
Bełchatów;powiat bełchatowski;łódzkie;56419;51,369;19,36
Biała Podlaska;powiat Biała Podlaska;lubelskie;56942;52,039;23,11
Świdnica;powiat świdnicki;dolnośląskie;56222;50,849;16,489
Będzin;powiat będziński;śląskie;56008;50,34;19,129
Zgierz;powiat zgierski;łódzkie;55673;51,869;19,41
Piekary Śląskie;powiat Piekary Śląskie;śląskie;54702;50,4;18,959
Racibórz;powiat raciborski;śląskie;54259;50,09;18,219
Legionowo;powiat legionowski;mazowieckie;53529;52,409;20,92
Ostrołęka;powiat Ostrołęka;mazowieckie;51656;53,09;21,569
Świętochłowice;powiat Świętochłowice;śląskie;49108;50,29;18,94
Wejherowo;powiat wejherowski;pomorskie;49099;54,599;18,23
Zawiercie;powiat zawierciański;śląskie;48703;50,489;19,42
Rumia;powiat wejherowski;pomorskie;49536;54,59;18,37
Starachowice;powiat starachowicki;świętokrzyskie;47638;51,06;21,07
Skierniewice;powiat Skierniewice;łódzkie;47655;51,959;20,139
